album_id,album_name,release_date,tracks_count,uri,album_type,artists
22sXXkKgjEuawIFL1e1tRw,Water,2023-07-28,1,spotify:album:22sXXkKgjEuawIFL1e1tRw,single,['3SozjO3Lat463tQICI9LcE']
6VCO0fDBGbRW8mCEvV95af,Lovin On Me,2023-11-10,1,spotify:album:6VCO0fDBGbRW8mCEvV95af,single,['2LIk90788K0zvyj2JJVwkJ']
3UOV8XvCwMKaATRNXrYCjN,greedy,2023-09-15,1,spotify:album:3UOV8XvCwMKaATRNXrYCjN,single,['45dkTj5sMRSjrmBSBeiHym']
5pTaRVLwZOFObIbRBubmeb,Houdini,2023-11-09,1,spotify:album:5pTaRVLwZOFObIbRBubmeb,single,['6M2wZ9GZgrQXHCFfjv46we']
1H1ivGeE2LjPjE71OITTZs,MY HOUSE,2023-12-01,1,spotify:album:1H1ivGeE2LjPjE71OITTZs,single,['6vWDO969PvNqNYHIOW5v0m']
18ogtNq9F7DmMkNYO6Xb4k,Strangers,2023-09-01,1,spotify:album:18ogtNq9F7DmMkNYO6Xb4k,single,['7uMDnSZyUYNBPLhPMNuaM2']
07w0rG5TETcyihsEIZR3qG,SOS,2022-12-09,23,spotify:album:07w0rG5TETcyihsEIZR3qG,album,['7tYKF4w9nC0nq9CsPZTHyP']
1NAmidJlEaVgA3MpcPFYGq,Lover,2019-08-23,18,spotify:album:1NAmidJlEaVgA3MpcPFYGq,album,['06HL4z0CvFAxyc27GXpf02']
5pSk3c3wVwnb2arb6ohCPU,GOLDEN,2023-11-03,11,spotify:album:5pSk3c3wVwnb2arb6ohCPU,album,['6HaGTQPmzraVmaVxvz6EUc']
4FftCsAcXXD1nFO9RFUNFO,nadie sabe lo que va a pasar mañana,2023-10-13,22,spotify:album:4FftCsAcXXD1nFO9RFUNFO,album,['4q3ewBCX7sLwd24euuV69X']
54dZypaXHAIDzBe9ujAZ63,Paint The Town Red,2023-08-04,1,spotify:album:54dZypaXHAIDzBe9ujAZ63,single,['5cj0lLjcoR7YOSnhnX0Po5']
1xJHno7SmdVtZAtXbdbDZp,GUTS,2023-09-08,12,spotify:album:1xJHno7SmdVtZAtXbdbDZp,album,['1McMsnEElThX1knmY4oliG']
6PbnGueEO6LGodPfvNldYf,Zach Bryan,2023-08-25,16,spotify:album:6PbnGueEO6LGodPfvNldYf,album,"['40ZNYROS4zLfyyBSs2PGe2', '70kkdajctXSbqSMJbQO424']"
2Cn1d2KgbkAqbZCJ1RzdkA,The Land Is Inhospitable and So Are We,2023-09-15,11,spotify:album:2Cn1d2KgbkAqbZCJ1RzdkA,album,['2uYWxilOVlUdk4oV9DvwqK']
2b2GHWESCWEuHiCZ2Skedp,Calm Down (with Selena Gomez),2022-08-25,1,spotify:album:2b2GHWESCWEuHiCZ2Skedp,single,"['46pWGuE3dSwY3bMMXGBvVS', '0C8ZW7ezQVs4URX5aX7Kqx']"
5q3jthpn2h59P7pe2gmAl7,You're Losing Me (From The Vault),2023-11-29,1,spotify:album:5q3jthpn2h59P7pe2gmAl7,single,['06HL4z0CvFAxyc27GXpf02']
6DmPNcfpkXBVRJsEIJY9tl,Scarlet,2023-09-22,17,spotify:album:6DmPNcfpkXBVRJsEIJY9tl,album,['5cj0lLjcoR7YOSnhnX0Po5']
5cH7FqB7JD5q1tJXJ7FHYu,Dance The Night (From Barbie The Album),2023-05-25,1,spotify:album:5cH7FqB7JD5q1tJXJ7FHYu,single,['6M2wZ9GZgrQXHCFfjv46we']
5O0zUvdnJr0RbWzLFneN2i,Popular (Music from the HBO Original Series),2023-06-02,1,spotify:album:5O0zUvdnJr0RbWzLFneN2i,single,"['1Xyo4u8uXC1ZmMpatF05PJ', '699OTQXzgjhIYAHMy9RyPD', '6tbjWDEIzxoDsBA1FuhfPW']"
54FpKE2Pug3xbPz26WUVSH,exes,2023-11-17,2,spotify:album:54FpKE2Pug3xbPz26WUVSH,single,['45dkTj5sMRSjrmBSBeiHym']
2g4aJTa5ejGpp0O0GKzWAQ,emails i can’t send fwd:,2023-03-17,17,spotify:album:2g4aJTa5ejGpp0O0GKzWAQ,album,['74KM79TiuVKeVCqs8QtB0B']
53985D8g3JcGBoULSOYYKX,Seven (feat. Latto),2023-07-14,3,spotify:album:53985D8g3JcGBoULSOYYKX,single,"['6HaGTQPmzraVmaVxvz6EUc', '3MdXrJWsbVzdn6fe5JYkSQ']"
